Name,Type,Price,Color Count
Nike Air Max 90 Premium,Men's Shoes with Reflective Accents,145.0,5
Nike Air Max 90,Women's Shoes,135.0,5
Nike Air Max 90,Men's Shoes,135.0,5
Nike Air Max 90 EasyOn,Little Kids' Shoes,82.0,5
Nike Air Max 90 LTR,Big Kids’ Shoes,102.0,5
Nike Air Max 90 By You,Custom Men's Shoes,165.0,5
Nike Air Max 90 G,Golf Shoes,145.0,5
Nike Air Max 90 N7,Men's Shoes,135.0,0
Nike Air Max 90,Big Kids' Shoes with Reflective Accents,112.0,0
Nike Air Max 90 By You,Custom Women's Shoes,165.0,5
Nike Air Max 90 LV8,Women's Shoes,150.0,5
Nike Air Max 1 Premium,Men's Shoes,155.0,2
Nike Air Max 1 Essential,Men's Shoes,145.0,2
Nike Air Max 90 SE,Big Kids' Shoes,100.0,0
Nike Air Max 90 By You,Custom Women's Shoes,165.0,0
Nike Air Max Excee,Women's Shoes,95.0,5
Nike Air Max 90,Big Kids' Shoes,120.0,0
Nike Icon Air Max 90,Card Wallet,30.0,5
Nike Air Max RK61 x Air Afrique,Men's Shoes,210.0,0
Nike Icon Air Max,Card Wallet,30.0,3
Nike Air Max 90 EasyOn,Baby/Toddler Shoes,65.0,4
Nike Air 180,Men's Shoes,155.0,0
Nike Air Max 90,Card Wallet,35.0,0
Nike Air Max SC,Women's Shoes,90.0,0
